dataset,rmse,mse,mae
weather,3.114059003829736,19.799946602304583,2.362190193902301
tourism_yearly,111078.12328993063,363513954611.7144,99456.0540551959
tourism_quarterly,19527.771486861628,6201928361.602383,15845.100306204946
tourism_monthly,7374.891631391369,619111237.8884984,5636.83029361023
cif_2016,513908.01521842513,4215886809397.5137,386526.3670424068
australian_electricity_demand,800.8367705189698,885757.1106004094,652.185211690267
pedestrian_counts,201.73714366476048,151208.0053661616,149.78377525252526
nn5_weekly,20.207279217372406,551.324271498317,16.708553516113007
kaggle_web_traffic_weekly,2751.056545255073,745610075.6193119,2081.781183003247
solar_10_minutes,2.916518075950651,15.696517675162108,2.72692214517589
solar_weekly,1918.441068452442,4732343.391918798,1729.4092503457173
fred_md,3128.761597032152,789147915.1258634,2825.672461360779
traffic_hourly,0.038692458579408555,0.0018708090134443467,0.029967592352576376
traffic_weekly,1.5367087177120735,4.087448585855902,1.1855844384623289
hospital,28.901001578961637,5851.362559756627,24.06573229030856
covid_deaths,403.4146883707207,4435194.603884712,353.7093984962405
saugeenday,39.79399009437644,1583.56164763133,21.496667098999023
us_births,1608.8383179590587,2588360.7333333334,1152.6666666666667
solar_4_seconds,0.0,0.0,0.0
wind_4_seconds,0.0,0.0,0.0
oikolab_weather,130.07108228180007,81269.08468305029,120.03774162319314
