,Model,Train Fraction,NLL/D
0,SM-GP,0.1,7.032461679011368
1,TCN,0.1,6.366163501191036
2,N-BEATS,0.1,10.159761110314278
3,N-HiTS,0.1,9.988549228537703
4,GPT-3,0.1,5.290283252871788
5,LLaMA-2 70B,0.1,5.181833824480958
6,SM-GP,0.2,5.4866793792007424
7,TCN,0.2,5.3999424304293715
8,N-BEATS,0.2,9.171757589847287
9,N-HiTS,0.2,7.39531250870746
10,GPT-3,0.2,4.6914061992033975
11,LLaMA-2 70B,0.2,5.0349144415246805
12,SM-GP,0.5,5.579819501588844
13,TCN,0.5,5.308976512392356
14,N-BEATS,0.5,5.988791489462079
15,N-HiTS,0.5,5.487011983695746
16,GPT-3,0.5,4.15365108043058
17,LLaMA-2 70B,0.5,4.754592978660047
18,SM-GP,1.0,5.217812575554996
19,TCN,1.0,5.102272308887933
20,N-BEATS,1.0,5.20051824116739
21,N-HiTS,1.0,5.0213065253360405
22,GPT-3,1.0,3.8205926872032796
23,LLaMA-2 70B,1.0,4.677449217470512
