Complexity,Loss,Equation
1,0.24983548,"0.6755035"
3,0.2382513,"(x0 + 0.3652524)"
4,0.23443963,"sin(0.46230987 + x0)"
5,0.15659767,"cos(cos(x0 / -0.0315478))"
7,0.1383613,"cos(cos(x0 / -0.03139693) * -1.1924218)"
9,0.08310665,"cos(cos(x0 / -0.031412385) * (-1.5252972 + x0))"
10,0.06685816,"(cos(cos(sin(x0 / -0.03139693)) * 1.5812331) + x0)"
11,0.048967104,"((cos(cos(x0 / -0.03139693) * -1.46688) + x0) * 0.7820823)"
12,0.04521823,"(sin(cos(cos(x0 / -0.03139693) * 1.4612703)) + (x0 * 0.6783667))"
13,0.04488932,"(sin(cos(cos(x0 / 0.031470172) * -1.4668792)) + (cos(0.81965065) * x0))"
14,0.04331737,"(sin(cos(cos((x0 / -0.03127001) + 0.07646165) * 1.4612703)) + (x0 * 0.6783667))"
15,0.043049168,"(sin(cos(cos((x0 - -0.8843305) / -0.031331886) * -1.4668792)) + (sin(0.74839014) * x0))"
16,0.041381687,"(sin(cos(cos((x0 + 1.176248) / -0.03127001) * 1.4494038)) + (cos(cos(x0)) * x0))"
19,0.04086671,"(sin(cos(cos((x0 / -0.03127001) + 0.07646165) * -1.4539052)) + (sin(cos(cos(x0 + 0.21859856))) * x0))"
20,0.04033996,"(sin(cos(cos((x0 / -0.03127001) + 0.07646165) * -1.4539052)) + (sin(cos(cos(x0 / 0.6133244))) * sin(x0)))"
21,0.039688535,"(sin(cos(cos((x0 / -0.03127001) + 0.07646165) * -1.4539052)) + (sin(cos(cos(cos(exp(x0 + x0))))) * x0))"
22,0.038965266,"(sin(cos(cos((x0 / -0.03127001) + 0.07646165) * -1.4539052)) + (sin(sin(cos(cos(exp(cos(0.07646165) + x0))))) * x0))"
23,0.038908686,"(sin(cos(cos((x0 / sin(-0.03127001)) + 0.07646165) * -1.4539052)) + (sin(sin(cos(cos(exp(cos(-0.03127001) + x0))))) * x0))"
24,0.03885965,"(sin(cos(cos((x0 / -0.03127001) + 0.07646165) * -1.4539052)) + (sin(sin(cos(cos(exp(cos(-0.03127001) + sin(x0)))))) * sin(x0)))"
25,0.038731556,"(sin(cos(cos((x0 / -0.03127001) + 0.07646165) * -1.4539052)) + (sin(cos(cos(exp(sin(x0) + cos(0.13303353))))) * sin(sin(sin(x0)))))"
26,0.038707476,"(sin(cos(cos((x0 / sin(-0.03127001)) + 0.07646165) * -1.4539052)) + (sin(cos(cos(exp(sin(x0) + cos(0.13303353))))) * sin(sin(sin(x0)))))"
33,0.038576346,"(cos((cos((x0 / -0.03127001) + 0.07646165) / -0.957405) / sin(sin(exp(sin(x0) - x0)) * exp(cos(sin(x0))))) / (cos(sin(sin(x0 * exp(sin(0.83734083))))) - -0.10476875))"
35,0.037833337,"(cos((cos((x0 / -0.03127001) + 0.07646165) / -0.957405) / sin(sin(cos(0.07646165)) * exp(cos(sin(x0))))) / (cos(sin(sin(sin(x0) - (x0 * (-0.47036648 - (x0 / 0.5857117)))))) - -0.10476875))"
36,0.03783043,"(cos((cos((x0 / -0.03127001) + 0.07646165) / -0.957405) / sin(sin(cos(0.07646165)) * exp(cos(sin(x0))))) / (cos(sin(sin(sin(x0) - (x0 * (-0.47036648 - (x0 / 0.5857117)))))) - sin(-0.10476875)))"
38,0.0378268,"(cos((cos((x0 / -0.03127001) + 0.07646165) / -0.957405) / sin(sin(exp(x0 - x0)) * exp(cos(sin(x0 / -0.983214))))) / (cos(sin(sin(x0 - (x0 * (-0.4178717 - (x0 / 0.5857117)))))) - -0.10476875))"
40,0.03781152,"(cos((cos((x0 / -0.03127001) + 0.07646165) / -0.957405) / sin(sin(cos(x0 - x0)) * exp(cos(sin(x0 / -0.983214))))) / (cos(sin(sin(sin(sin(x0)) - (x0 * (-0.47036648 - (x0 / 0.5857117)))))) - -0.10476875))"
41,0.037803274,"(cos((cos((x0 / -0.03127001) + 0.07646165) / -0.957405) / sin(sin(cos(x0 - sin(x0))) * exp(cos(sin(x0 / -0.983214))))) / (cos(sin(sin(sin(sin(x0)) - (x0 * (-0.47036648 - (x0 / 0.5857117)))))) - -0.10476875))"
42,0.037795383,"(cos((cos((x0 / -0.03127001) + 0.07646165) / -0.957405) / sin(sin(cos(x0 - sin(x0))) * exp(cos(sin(x0 / -0.983214))))) / (cos(sin(sin(sin(sin(x0)) - (x0 * (-0.47036648 - (x0 / 0.5857117)))))) - sin(-0.10476875)))"
43,0.037789725,"(cos((cos((x0 / -0.03127001) + 0.07646165) / -0.957405) / sin(sin(cos(sin(x0) - x0)) * exp(cos(sin(x0 / -0.983214))))) / (cos(sin(sin(sin(sin(x0)) - (x0 * (-0.47036648 - (x0 / 0.5857117)))))) - sin(sin(-0.10476875))))"
46,0.037786085,"(cos((cos((x0 / -0.03127001) + (0.07646165 * (0.6898878 / 0.6787572))) / -0.957405) / sin(sin(cos(x0 - sin(x0))) * exp(cos(sin(x0 / -0.983214))))) / (cos(sin(sin(sin(sin(x0)) - (x0 * (-0.47036648 - (x0 / 0.5857117)))))) - sin(-0.10476875)))"
48,0.037759367,"(cos((cos((x0 / -0.03127001) + 0.07646165) / -0.957405) / sin(sin(cos((x0 - x0) / -0.957405)) * exp(cos(sin(x0 / -0.983214))))) / (cos(sin(sin(x0 - (x0 * ((-0.47036648 * 0.8290226) - (x0 / 0.5857117)))))) - (sin(sin(-0.10476875)) / (1.3494369 / 1.3241783))))"
